openalex_id,latitude,longitude,geo_source
I43814544,12.8734977,80.2198655,campus_sathyabama_institute_of_science_and_tech
I175691731,12.0271,79.8587,campus_pondicherry
I8975392,17.419,78.526,campus_osmania
I4210131147,28.9190359,77.1285878,campus_srm_university
I169877490,19.07609,72.851498,campus_kalina_mumbai_uni
I193073490,20.356,85.814,campus_soa_bhubaneswar
I863896202,28.7506,77.1172,campus_dtu
I162030827,30.339,76.3922,campus_thapar_patiala
I167751958,19.0239129,72.8587665,campus_institute_of_chemical_technology
I165682329,31.6401718,74.8226685,campus_guru_nanak_dev_university
I134900695,11.0044,76.9308,campus_tnau
I4076070,10.6795,78.7094,campus_bharathidasan
I11880225,13.0156,74.7963,campus_nitk_surathkal
I111575329,11.0389,77.0356,campus_bharathiar
I121750182,17.9833537,79.5335163,campus_national_institute_of_technology_waranga
I8977528,23.828,78.7715,campus_dhsgsu_sagar
I170558118,13.636,79.393,campus_svu_tirupati
I1330855593,13.1868,80.0972,campus_veltech
I280994,26.8670236,80.9154604,campus_king_george_s_medical_university
I885392262,17.778,83.3778,campus_gitam
I899646,30.9040094,75.8004222,campus_punjab_agricultural_university
I186246823,26.9260863,80.9381237,campus_university_of_lucknow
I165998391,22.5386,88.3964,campus_iacs
I887998513,18.4593068,73.8569804,campus_bharati_vidyapeeth_deemed_university
I168893459,25.4297089,81.7728296,campus_university_of_allahabad
I77501641,22.9848568,88.446038,campus_university_of_kalyani
I204743663,12.3059327,76.6403692,campus_university_of_mysore
I4210106490,23.2093426,77.4584547,campus_all_india_institute_of_medical_sciences
I4210144496,20.7161,76.5619,campus_gs_college_khamgaon
I98365261,22.555,88.351,campus_iiest_shibpur
I129734738,21.256146,81.5788694,campus_all_india_institute_of_medical_sciences
I20497027,10.0449079,76.3261437,campus_cochin_university_of_science_and_technol
I5847235,30.2958,77.9956,campus_upes
I61923386,11.9564,79.8057,campus_jipmer
I42014448,21.1634495,72.7861213,campus_sardar_vallabhbhai_national_institute_of
I76777374,26.6276045,75.0288021,campus_central_university_of_rajasthan
I157674215,22.7757,88.3647,campus_presidency
I129862065,8.8114405,76.7499316,campus_government_medical_college
I155837530,23.5486963,87.2910571,campus_national_institute_of_technology_durgapu
I19716509,28.5165,77.2498,campus_jamia_hamdard
I82571370,27.603,77.294,campus_gla_mathura
I135388327,34.133915,74.8367448,campus_university_of_kashmir
I115715567,23.3432,85.3094,campus_bit_mesra
I20107917,13.0415,80.144,campus_sri_ramachandra
I155125381,28.4961,77.536,campus_galgotias
I79161377,30.3580954,76.4503254,campus_punjabi_university
I141641110,16.6779671,74.2515616,campus_shivaji_university
I932239252,10.9628655,79.3853065,campus_sastra_university
I19008122,12.8767,74.8356,campus_mangalore_univ
I4210108783,30.9106068,75.8628985,campus_christian_medical_college
I10874241,17.4982,78.3916,campus_jntu_hyd
I65220239,11.0282,77.0143,campus_karpagam
I158338959,8.5589987,76.8792581,campus_university_of_kerala
